Departure,Return,Departure station id,Departure station name,Return station id,Return station name,Covered distance (m),Duration (sec.)
2021-07-31T23:52:57,2021-08-01T00:06:14,264,Eränkävijäntori,244,Relanderinaukio,3063,792
2021-07-31T23:52:55,2021-08-01T00:14:53,101,Munkkivuoren ostoskeskus,073,Kesäkatu,3632,1314
2021-07-31T23:52:33,2021-08-01T00:05:14,293,Korkeasaari,202,Merihaka,1854,760
2021-07-31T23:52:33,2021-08-01T00:05:48,293,Korkeasaari,202,Merihaka,1737,791
2021-07-31T23:52:32,2021-08-01T00:20:38,141,Intiankatu,116,Linnanmäki,3081,1681
2021-07-31T23:52:25,2021-08-01T00:10:05,040,Hakaniemi (M),404,Sompasaari,1790,1055
2021-07-31T23:52:15,2021-08-01T00:18:12,211,Haagan tori,137,Arabian kauppakeskus,5207,1552
2021-07-31T23:52:12,2021-07-31T23:56:56,118,Fleminginkatu,115,Venttiilikuja,815,284
2021-07-31T23:52:09,2021-08-01T00:02:57,094,Laajalahden aukio,100,Teljäntie,1627,643
2021-07-31T23:51:49,2021-08-01T01:01:45,085,Jalavatie,078,Messeniuksenkatu,933,283
2021-07-31T23:51:40,2021-08-01T00:08:17,404,Sompasaari,011,Unioninkatu,3675,993
2021-07-31T23:51:37,2021-07-31T23:56:24,026,Kamppi (M),035,Cygnaeuksenkatu,1117,286
2021-07-31T23:51:31,2021-07-31T23:58:22,029,Baana,004,Viiskulma,1600,410
2021-07-31T23:51:19,2021-08-01T00:18:18,387,Kauppakeskus Kaari,727,Ratsutori,5807,1615
2021-07-31T23:51:14,2021-08-01T00:00:46,129,Pernajantie,115,Venttiilikuja,1553,568
2021-07-31T23:51:08,2021-08-01T00:06:13,325,Mellunmäki (M),283,Alakiventie,3389,900
2021-07-31T23:51:08,2021-08-01T00:18:44,387,Kauppakeskus Kaari,711,Kirjurinkuja,5868,1653
2021-07-31T23:51:02,2021-08-01T00:04:07,012,Kanavaranta,026,Kamppi (M),2191,780
2021-07-31T23:50:50,2021-08-01T00:04:39,265,Siilitie 9,259,Petter Wetterin tie,2985,824
2021-07-31T23:50:46,2021-08-01T00:13:52,142,Koskelantie,240,Viikin normaalikoulu,5650,1384
2021-07-31T23:50:40,2021-08-01T00:20:41,141,Intiankatu,116,Linnanmäki,3161,1797
2021-07-31T23:50:38,2021-07-31T23:54:23,292,Koskelan varikko,139,Muotoilijankatu,667,222
2021-07-31T23:50:36,2021-08-01T00:04:22,012,Kanavaranta,026,Kamppi (M),2166,821
2021-07-31T23:50:33,2021-07-31T23:52:31,141,Intiankatu,141,Intiankatu,1,117
2021-07-31T23:50:31,2021-07-31T23:50:59,387,Kauppakeskus Kaari,387,Kauppakeskus Kaari,0,24
2021-07-31T23:50:25,2021-07-31T23:59:42,117,Brahen puistikko,142,Koskelantie,2539,557
2021-07-31T23:50:22,2021-08-01T00:04:44,262,Siilitie (M),240,Viikin normaalikoulu,3091,858
2021-07-31T23:50:21,2021-08-01T00:18:37,387,Kauppakeskus Kaari,711,Kirjurinkuja,6110,1695
2021-07-31T23:50:11,2021-07-31T23:50:50,134,Haukilahdenkatu,134,Haukilahdenkatu,6,34
2021-07-31T23:50:11,2021-07-31T23:50:48,134,Haukilahdenkatu,134,Haukilahdenkatu,0,33
2021-07-31T23:50:01,2021-08-01T00:10:54,403,Verkkosaari,013,Merisotilaantori,4633,1248
2021-07-31T23:49:47,2021-08-01T00:03:18,026,Kamppi (M),046,Diakoniapuisto,2685,806
2021-07-31T23:49:36,2021-08-01T00:01:32,057,Lauttasaaren ostoskeskus,050,Melkonkuja,1368,711
2021-07-31T23:49:26,2021-07-31T23:56:39,281,Puotila (M),274,Voikukantie,1119,428
2021-07-31T23:49:24,2021-08-01T00:16:52,543,Otaranta,209,Takomotie,7567,1644
2021-07-31T23:49:21,2021-08-01T00:32:33,126,Kalasatama (M),404,Sompasaari,565,166
2021-07-31T23:49:19,2021-08-01T00:08:39,069,Kalevankatu,069,Kalevankatu,2,1155
2021-07-31T23:49:18,2021-08-01T00:01:13,218,Pohjois-Haagan asema,391,Tollinpolku,2650,709
2021-07-31T23:49:10,2021-08-01T00:16:59,543,Otaranta,209,Takomotie,7377,1665
2021-07-31T23:49:08,2021-07-31T23:54:57,581,Niittykumpu (M),647,Lystimäki,1159,343
2021-07-31T23:48:53,2021-07-31T23:55:24,387,Kauppakeskus Kaari,221,Thalianaukio,1372,387
2021-07-31T23:48:51,2021-07-31T23:55:12,162,Leppäsuonaukio,067,Perämiehenkatu,1931,376
2021-07-31T23:48:50,2021-07-31T23:59:26,737,Muurarinkuja,754,Lintumetsä,2252,640
2021-07-31T23:48:48,2021-08-01T00:00:18,041,Ympyrätalo,125,Arielinkatu,2403,686
2021-07-31T23:48:41,2021-08-01T00:01:05,041,Ympyrätalo,010,Kasarmitori,1872,739
2021-07-31T23:48:39,2021-08-01T00:05:23,009,Erottajan aukio,068,Albertinkatu,932,378
2021-07-31T23:48:36,2021-07-31T23:57:59,062,Välimerenkatu,024,Mannerheimintie,1909,564
2021-07-31T23:48:36,2021-08-01T00:01:25,118,Fleminginkatu,135,Velodrominrinne,2005,759
2021-07-31T23:48:36,2021-08-01T00:01:46,122,Lintulahdenkatu,137,Arabian kauppakeskus,2915,786
2021-07-31T23:48:15,2021-08-01T00:00:29,597,Linnakepolku,561,Koivu-Mankkaa,2525,733
2021-07-31T23:48:07,2021-07-31T23:55:58,099,Muusantori,101,Munkkivuoren ostoskeskus,1660,467
2021-07-31T23:48:06,2021-07-31T23:59:45,279,Puotinkylän kartano,272,Marjaniementie,2174,694
2021-07-31T23:48:01,2021-08-01T00:06:29,106,Korppaanmäentie,036,Apollonkatu,3381,1105
2021-07-31T23:48:01,2021-08-01T00:06:29,547,Jämeräntaival,096,Huopalahdentie,5041,1103
2021-07-31T23:47:56,2021-08-01T00:16:41,063,Jätkäsaarenlaituri,063,Jätkäsaarenlaituri,5245,1721
2021-07-31T23:47:55,2021-08-01T00:05:12,065,Hernesaarenranta,031,Marian sairaala,2448,1032
2021-07-31T23:47:43,2021-08-01T00:28:41,011,Unioninkatu,597,Linnakepolku,10191,2457
2021-07-31T23:47:43,2021-08-01T00:02:43,024,Mannerheimintie,071,Hietaniemenkatu,2726,896
2021-07-31T23:47:37,2021-07-31T23:49:30,008,Vanha kirkkopuisto,049,Annankatu,255,106
2021-07-31T23:47:37,2021-08-01T00:05:09,065,Hernesaarenranta,031,Marian sairaala,2464,1047
2021-07-31T23:47:23,2021-08-01T00:01:41,259,Petter Wetterin tie,249,Isosaarentie,2719,855
2021-07-31T23:46:50,2021-08-01T00:02:39,245,Kulosaari (M),257,Margareetankuja,2039,943
2021-07-31T23:46:35,2021-07-31T23:50:46,123,Näkinsilta,122,Lintulahdenkatu,608,247
2021-07-31T23:46:35,2021-07-31T23:55:25,087,Kustaankatu,116,Linnanmäki,1208,526
2021-07-31T23:46:29,2021-08-01T00:07:30,358,Syystie,362,Teerisuontie,2658,1259
2021-07-31T23:46:27,2021-07-31T23:54:11,008,Vanha kirkkopuisto,012,Kanavaranta,1200,458
2021-07-31T23:46:18,2021-08-01T00:00:12,026,Kamppi (M),049,Annankatu,974,829
2021-07-31T23:46:10,2021-07-31T23:48:48,032,Eläinmuseo,019,Rautatientori / itä,765,156
2021-07-31T23:45:51,2021-07-31T23:54:11,116,Linnanmäki,132,Hollolantie,1327,496
2021-07-31T23:45:49,2021-07-31T23:48:27,087,Kustaankatu,043,Karhupuisto,737,154
2021-07-31T23:45:46,2021-07-31T23:56:23,577,Olarinluoma,515,Oravannahkatori,3181,633
2021-07-31T23:45:45,2021-07-31T23:53:24,388,Kaustisentie,218,Pohjois-Haagan asema,1609,455
2021-07-31T23:45:36,2021-07-31T23:53:22,135,Velodrominrinne,113,Pasilan asema,863,461
2021-07-31T23:45:33,2021-07-31T23:57:39,641,Komeetankatu,583,Haukilahdensolmu,2405,721
2021-07-31T23:45:31,2021-08-01T00:07:11,040,Hakaniemi (M),029,Baana,3177,1295
2021-07-31T23:45:29,2021-08-01T00:00:05,040,Hakaniemi (M),070,Sammonpuistikko,2493,872
2021-07-31T23:45:28,2021-08-01T13:01:12,305,Kalkkihiekantie,305,Kalkkihiekantie,175,47735
2021-07-31T23:45:24,2021-08-01T00:02:33,012,Kanavaranta,062,Välimerenkatu,2848,1025
2021-07-31T23:45:21,2021-07-31T23:59:57,040,Hakaniemi (M),070,Sammonpuistikko,2613,872
2021-07-31T23:45:14,2021-08-01T00:12:34,040,Hakaniemi (M),054,Gyldenintie,5776,1635
2021-07-31T23:45:10,2021-07-31T23:52:52,019,Rautatientori / itä,162,Leppäsuonaukio,1186,458
2021-07-31T23:45:09,2021-08-01T00:13:45,065,Hernesaarenranta,078,Messeniuksenkatu,4494,1711
2021-07-31T23:45:07,2021-07-31T23:54:08,332,Kontulankaari,338,Jakomäentie,2104,541
2021-07-31T23:44:43,2021-07-31T23:54:19,313,Rastila (M),281,Puotila (M),2495,571
2021-07-31T23:44:42,2021-07-31T23:48:57,115,Venttiilikuja,118,Fleminginkatu,778,250
2021-07-31T23:44:36,2021-07-31T23:58:50,045,Brahen kenttä,078,Messeniuksenkatu,2287,850
2021-07-31T23:44:33,2021-08-01T00:08:29,135,Velodrominrinne,403,Verkkosaari,3483,1431
2021-07-31T23:44:32,2021-07-31T23:55:41,583,Haukilahdensolmu,577,Olarinluoma,2093,665
2021-07-31T23:44:27,2021-08-01T00:02:34,135,Velodrominrinne,134,Haukilahdenkatu,2088,1082
